CASE,rationale,Completeness,Contrastiveness,Plausibility,Satisfaction,Understandability,rationale_id,model,rationale_length,gender,age,country,education,employement
242,RE19,4,3,4,3,3,195,MT+CF:PosRationales,253,female,35 to 39 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
243,RE10,5,2,5,5,5,343,MT+CF:PosRationales,314,male,50 to 54 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
243,RE13,4,3,4,3,4,199,MT+CF:RevRationales,317,male,50 to 54 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
243,RE17,3,4,4,4,4,188,CF:PosRationales,209,male,50 to 54 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
243,RE18,4,3,5,4,5,321,MT+CF:PosRationales,135,male,50 to 54 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
244,RE08,5,5,5,5,5,2,MT:PosRationales,322,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Other
244,RE09,4,3,4,3,5,377,CF:PosRationales,191,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Other
244,RE10,5,5,5,5,5,292,MT+CF:PosRationales,172,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Other
244,RE11,5,5,5,5,5,15,MT+CF:RevRationales,515,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Other
244,RE12,5,5,5,5,5,322,MT+CF:RevRationales,426,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Other
244,RE13,5,5,5,5,5,252,MT+CF:RevRationales,272,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Other
244,RE14,4,5,5,5,5,383,MT:PosRationales,153,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Other
244,RE15,5,5,5,5,5,111,MT:PosRationales,328,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Other
244,RE16,5,5,5,5,5,120,CF:PosRationales,208,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Other
244,RE17,5,5,5,5,5,49,CF:PosRationales,349,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Other
244,RE18,5,5,5,5,5,170,MT+CF:PosRationales,228,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Other
244,RE19,5,5,5,5,5,341,MT+CF:PosRationales,230,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Other
245,RE08,4,4,5,3,4,84,MT:PosRationales,174,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Other
245,RE09,2,2,1,2,3,215,CF:PosRationales,206,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Other
245,RE10,3,4,2,2,3,354,MT+CF:PosRationales,260,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Other
245,RE11,4,4,5,4,4,310,MT+CF:RevRationales,269,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Other
245,RE12,2,4,2,1,4,72,MT+CF:RevRationales,595,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Other
245,RE13,2,2,4,4,4,40,MT+CF:RevRationales,242,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Other
245,RE14,4,4,4,4,4,175,MT:PosRationales,256,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Other
245,RE17,2,2,2,3,4,330,CF:PosRationales,370,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Other
245,RE18,1,2,1,1,2,294,MT+CF:PosRationales,304,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Other
245,RE19,2,2,4,4,4,307,MT+CF:PosRationales,170,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Other
246,RE08,4,4,4,4,4,351,MT:PosRationales,227,male,25 to 29 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
246,RE09,5,5,5,5,5,225,CF:PosRationales,233,male,25 to 29 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
246,RE12,4,4,4,4,4,90,MT+CF:RevRationales,296,male,25 to 29 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
246,RE14,4,4,4,4,4,193,MT:PosRationales,133,male,25 to 29 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
246,RE15,4,4,4,4,4,331,MT:PosRationales,302,male,25 to 29 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
246,RE18,4,4,4,4,4,49,MT+CF:PosRationales,180,male,25 to 29 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
247,RE08,5,5,5,5,5,83,MT:PosRationales,271,male,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
247,RE10,2,3,3,3,2,231,MT+CF:PosRationales,139,male,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
247,RE11,5,5,5,5,5,284,MT+CF:RevRationales,264,male,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
247,RE13,5,5,5,5,5,156,MT+CF:RevRationales,241,male,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
247,RE14,5,4,5,5,5,138,MT:PosRationales,235,male,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
247,RE15,4,3,4,3,4,176,MT:PosRationales,142,male,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
247,RE16,3,3,4,4,4,67,CF:PosRationales,187,male,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
247,RE17,5,4,5,5,5,219,CF:PosRationales,286,male,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
247,RE18,5,4,5,5,4,245,MT+CF:PosRationales,201,male,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
247,RE19,2,2,3,3,4,103,MT+CF:PosRationales,179,male,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
248,RE08,2,1,2,1,4,233,MT:PosRationales,169,female,40 to 44 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
248,RE09,4,2,4,4,4,83,CF:PosRationales,177,female,40 to 44 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
248,RE10,3,3,4,4,4,51,MT+CF:PosRationales,274,female,40 to 44 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
248,RE11,4,4,4,4,4,115,MT+CF:RevRationales,400,female,40 to 44 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
248,RE14,4,2,3,3,4,249,MT:PosRationales,215,female,40 to 44 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
248,RE15,4,3,4,4,4,116,MT:PosRationales,252,female,40 to 44 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
248,RE16,3,2,4,3,4,137,CF:PosRationales,125,female,40 to 44 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
248,RE17,3,2,4,3,4,235,CF:PosRationales,237,female,40 to 44 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
248,RE18,4,2,2,4,4,158,MT+CF:PosRationales,303,female,40 to 44 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
248,RE19,4,4,4,4,4,152,MT+CF:PosRationales,285,female,40 to 44 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
249,RE08,5,5,5,3,5,61,MT:PosRationales,218,male,20 to 24 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
249,RE09,5,5,5,5,5,333,CF:PosRationales,291,male,20 to 24 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
249,RE10,5,5,5,5,5,340,MT+CF:PosRationales,221,male,20 to 24 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
249,RE11,5,5,5,5,5,128,MT+CF:RevRationales,273,male,20 to 24 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
249,RE12,5,5,5,5,5,223,MT+CF:RevRationales,249,male,20 to 24 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
249,RE13,5,5,5,5,5,250,MT+CF:RevRationales,317,male,20 to 24 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
249,RE14,5,5,5,5,5,25,MT:PosRationales,173,male,20 to 24 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
249,RE15,5,5,5,5,5,314,MT:PosRationales,385,male,20 to 24 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
249,RE16,5,5,5,3,5,253,CF:PosRationales,162,male,20 to 24 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
249,RE17,5,5,5,5,5,140,CF:PosRationales,267,male,20 to 24 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
249,RE18,5,5,5,5,5,0,MT+CF:PosRationales,214,male,20 to 24 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
249,RE19,5,5,5,5,5,79,MT+CF:PosRationales,290,male,20 to 24 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
250,RE08,4,4,4,4,4,319,MT:PosRationales,261,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
250,RE09,4,4,4,4,4,180,CF:PosRationales,222,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
250,RE10,4,4,3,4,4,13,MT+CF:PosRationales,222,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
250,RE11,4,4,4,4,4,1,MT+CF:RevRationales,387,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
250,RE12,4,4,4,4,4,265,MT+CF:RevRationales,514,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
250,RE13,4,4,4,4,4,6,MT+CF:RevRationales,414,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
250,RE14,3,4,4,3,4,167,MT:PosRationales,173,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
250,RE15,4,3,3,3,3,152,MT:PosRationales,162,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
250,RE16,4,4,4,4,4,200,CF:PosRationales,309,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
250,RE17,3,4,4,4,4,277,CF:PosRationales,259,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
250,RE18,4,4,4,3,4,275,MT+CF:PosRationales,224,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
250,RE19,4,4,4,4,4,249,MT+CF:PosRationales,230,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
251,RE08,5,5,5,5,5,246,MT:PosRationales,267,male,65 years or older,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Other
251,RE09,5,5,5,5,5,191,CF:PosRationales,295,male,65 years or older,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Other
251,RE10,4,4,5,5,5,148,MT+CF:PosRationales,156,male,65 years or older,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Other
251,RE11,5,5,5,5,5,255,MT+CF:RevRationales,328,male,65 years or older,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Other
251,RE12,5,5,5,5,5,69,MT+CF:RevRationales,339,male,65 years or older,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Other
251,RE13,5,4,5,4,5,79,MT+CF:RevRationales,1263,male,65 years or older,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Other
251,RE14,5,5,5,5,5,292,MT:PosRationales,149,male,65 years or older,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Other
251,RE15,5,5,5,5,5,20,MT:PosRationales,224,male,65 years or older,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Other
251,RE16,5,5,5,5,5,130,CF:PosRationales,154,male,65 years or older,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Other
251,RE18,5,5,5,5,5,137,MT+CF:PosRationales,341,male,65 years or older,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Other
251,RE19,5,5,5,5,5,381,MT+CF:PosRationales,176,male,65 years or older,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Other
252,RE08,2,4,4,2,4,317,MT:PosRationales,272,male,35 to 39 years old,United States,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
252,RE09,3,3,4,3,3,351,CF:PosRationales,291,male,35 to 39 years old,United States,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
252,RE10,4,3,5,3,4,280,MT+CF:PosRationales,127,male,35 to 39 years old,United States,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
252,RE11,4,3,4,4,5,148,MT+CF:RevRationales,484,male,35 to 39 years old,United States,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
252,RE12,4,4,4,4,4,43,MT+CF:RevRationales,395,male,35 to 39 years old,United States,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
252,RE13,4,4,5,4,4,251,MT+CF:RevRationales,278,male,35 to 39 years old,United States,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
252,RE15,2,4,4,2,3,45,MT:PosRationales,144,male,35 to 39 years old,United States,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
252,RE16,4,4,4,4,4,141,CF:PosRationales,307,male,35 to 39 years old,United States,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
252,RE17,3,3,4,4,3,355,CF:PosRationales,173,male,35 to 39 years old,United States,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
252,RE19,4,4,4,4,4,357,MT+CF:PosRationales,266,male,35 to 39 years old,United States,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
253,RE09,2,2,2,2,4,89,CF:PosRationales,282,male,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
253,RE10,4,4,5,4,5,334,MT+CF:PosRationales,211,male,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
253,RE11,4,5,5,3,5,341,MT+CF:RevRationales,332,male,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
253,RE16,3,2,5,3,5,139,CF:PosRationales,314,male,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
253,RE17,4,2,4,3,4,313,CF:PosRationales,300,male,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
254,RE08,4,4,4,4,4,147,MT:PosRationales,196,male,65 years or older,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Other
254,RE09,4,4,3,4,4,73,CF:PosRationales,301,male,65 years or older,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Other
254,RE10,4,4,4,4,4,244,MT+CF:PosRationales,216,male,65 years or older,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Other
254,RE11,4,4,4,4,4,237,MT+CF:RevRationales,337,male,65 years or older,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Other
254,RE12,2,3,2,2,4,182,MT+CF:RevRationales,1042,male,65 years or older,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Other
254,RE13,4,4,4,4,4,316,MT+CF:RevRationales,324,male,65 years or older,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Other
254,RE14,4,4,4,4,4,86,MT:PosRationales,297,male,65 years or older,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Other
254,RE15,4,4,4,4,4,247,MT:PosRationales,230,male,65 years or older,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Other
254,RE17,4,4,4,4,4,285,CF:PosRationales,246,male,65 years or older,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Other
254,RE18,4,4,4,4,4,365,MT+CF:PosRationales,145,male,65 years or older,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Other
254,RE19,2,3,3,2,4,65,MT+CF:PosRationales,205,male,65 years or older,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Other
255,RE08,4,4,4,4,4,171,MT:PosRationales,205,male,35 to 39 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Employee
255,RE09,4,4,4,4,4,1,CF:PosRationales,218,male,35 to 39 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Employee
255,RE10,4,4,4,4,4,173,MT+CF:PosRationales,295,male,35 to 39 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Employee
255,RE12,4,4,4,4,4,54,MT+CF:RevRationales,336,male,35 to 39 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Employee
255,RE13,4,4,4,4,4,246,MT+CF:RevRationales,242,male,35 to 39 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Employee
255,RE14,4,4,4,4,4,345,MT:PosRationales,231,male,35 to 39 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Employee
255,RE15,4,4,4,4,4,272,MT:PosRationales,302,male,35 to 39 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Employee
255,RE16,4,5,5,4,5,36,CF:PosRationales,210,male,35 to 39 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Employee
255,RE17,4,4,4,4,4,150,CF:PosRationales,132,male,35 to 39 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Employee
255,RE18,5,5,5,5,5,165,MT+CF:PosRationales,251,male,35 to 39 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Employee
255,RE19,5,5,5,5,5,70,MT+CF:PosRationales,246,male,35 to 39 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Employee
256,RE08,5,5,5,5,5,214,MT:PosRationales,171,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
256,RE10,5,5,5,5,5,367,MT+CF:PosRationales,152,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
256,RE11,5,5,2,2,4,38,MT+CF:RevRationales,1387,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
256,RE13,2,4,3,2,3,359,MT+CF:RevRationales,260,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
256,RE14,4,4,4,3,4,174,MT:PosRationales,191,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
256,RE15,4,4,4,4,4,312,MT:PosRationales,160,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
256,RE16,5,4,5,5,4,334,CF:PosRationales,325,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
256,RE17,5,5,5,5,5,343,CF:PosRationales,267,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
256,RE18,4,5,4,5,5,267,MT+CF:PosRationales,202,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
256,RE19,5,5,5,5,5,382,MT+CF:PosRationales,199,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
257,RE08,5,5,5,5,5,28,MT:PosRationales,142,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
257,RE09,5,5,5,5,5,383,CF:PosRationales,173,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
257,RE10,5,5,5,5,5,207,MT+CF:PosRationales,325,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
257,RE11,5,5,5,5,5,108,MT+CF:RevRationales,409,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
257,RE12,5,5,5,5,5,95,MT+CF:RevRationales,256,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
257,RE13,5,5,5,5,5,48,MT+CF:RevRationales,215,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
257,RE14,5,5,5,5,5,263,MT:PosRationales,202,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
257,RE15,5,5,5,5,5,356,MT:PosRationales,167,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
257,RE16,3,3,3,3,4,244,CF:PosRationales,250,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
257,RE17,5,5,5,5,5,232,CF:PosRationales,268,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
257,RE18,5,5,5,5,5,309,MT+CF:PosRationales,198,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
257,RE19,4,5,4,5,5,181,MT+CF:PosRationales,214,male,50 to 54 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
258,RE08,4,5,4,5,4,230,MT:PosRationales,179,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
258,RE09,3,3,4,4,4,129,CF:PosRationales,199,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
258,RE10,4,4,5,4,4,248,MT+CF:PosRationales,222,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
258,RE11,5,4,4,3,4,169,MT+CF:RevRationales,291,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
258,RE12,4,4,5,4,3,137,MT+CF:RevRationales,369,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
258,RE13,4,4,3,4,5,258,MT+CF:RevRationales,312,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
258,RE15,4,5,4,4,4,377,MT:PosRationales,164,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
258,RE16,4,5,4,3,4,152,CF:PosRationales,196,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
258,RE17,4,4,3,4,3,88,CF:PosRationales,153,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
258,RE18,4,4,5,4,4,290,MT+CF:PosRationales,239,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
258,RE19,5,4,4,5,4,353,MT+CF:PosRationales,257,male,35 to 39 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
259,RE08,3,4,4,2,5,323,MT:PosRationales,243,female,55 to 59 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Self-employed
259,RE09,4,5,3,1,5,354,CF:PosRationales,320,female,55 to 59 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Self-employed
259,RE10,2,5,4,2,5,237,MT+CF:PosRationales,222,female,55 to 59 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Self-employed
259,RE11,3,5,3,1,4,339,MT+CF:RevRationales,300,female,55 to 59 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Self-employed
259,RE12,4,5,4,3,4,289,MT+CF:RevRationales,416,female,55 to 59 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Self-employed
259,RE15,2,5,4,2,5,239,MT:PosRationales,282,female,55 to 59 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Self-employed
259,RE16,3,1,4,1,4,231,CF:PosRationales,234,female,55 to 59 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Self-employed
259,RE17,1,1,1,1,3,218,CF:PosRationales,290,female,55 to 59 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Self-employed
259,RE18,2,5,4,2,5,246,MT+CF:PosRationales,254,female,55 to 59 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Self-employed
259,RE19,2,5,3,1,5,26,MT+CF:PosRationales,274,female,55 to 59 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Self-employed
260,RE08,4,2,4,4,4,64,MT:PosRationales,234,female,30 to 34 years old,United States,"Vocational baccalaureate diploma, vocational secondary certification",Other
260,RE09,4,2,3,3,4,103,CF:PosRationales,160,female,30 to 34 years old,United States,"Vocational baccalaureate diploma, vocational secondary certification",Other
260,RE10,4,2,3,4,4,34,MT+CF:PosRationales,197,female,30 to 34 years old,United States,"Vocational baccalaureate diploma, vocational secondary certification",Other
260,RE11,3,4,4,4,4,16,MT+CF:RevRationales,565,female,30 to 34 years old,United States,"Vocational baccalaureate diploma, vocational secondary certification",Other
260,RE12,2,4,2,2,4,181,MT+CF:RevRationales,813,female,30 to 34 years old,United States,"Vocational baccalaureate diploma, vocational secondary certification",Other
260,RE15,3,4,3,4,3,285,MT:PosRationales,245,female,30 to 34 years old,United States,"Vocational baccalaureate diploma, vocational secondary certification",Other
260,RE16,3,2,3,3,4,101,CF:PosRationales,208,female,30 to 34 years old,United States,"Vocational baccalaureate diploma, vocational secondary certification",Other
260,RE18,3,2,4,3,4,379,MT+CF:PosRationales,122,female,30 to 34 years old,United States,"Vocational baccalaureate diploma, vocational secondary certification",Other
260,RE19,4,2,4,3,4,32,MT+CF:PosRationales,205,female,30 to 34 years old,United States,"Vocational baccalaureate diploma, vocational secondary certification",Other
261,RE08,5,2,5,3,5,318,MT:PosRationales,222,female,20 to 24 years old,United States,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
261,RE09,4,2,5,4,5,116,CF:PosRationales,183,female,20 to 24 years old,United States,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
261,RE10,4,3,5,4,4,337,MT+CF:PosRationales,176,female,20 to 24 years old,United States,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
